DATE,TIME PERIOD,(LFSI.M.AT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BG.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CY.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.EE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.ES.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GB.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LV.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.MT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.NL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.RO.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1990-02-28,1990Feb,,6.817857,,,,,7.654024,,16.059080,2.688532,,7.015219,,,,13.995680,9.143005,,1.967024,,,6.795256,,,,1.596951,,,
1990-03-31,1990mar,,6.555914,,,,,7.664003,,15.839670,3.277454,,6.933478,,,,13.607533,8.862283,,1.795575,,,6.746550,,,,1.522306,,,
1990-04-30,1990Apr,,6.313125,,,,,7.423876,,15.696860,4.467953,,6.851544,,,,13.226608,8.685225,,1.641186,,,6.274677,,,,1.351581,,,
1990-05-31,1990May,,6.108483,,,,,7.003172,,15.422064,6.058690,,6.642256,,,,12.993022,8.850238,,1.551615,,,6.132111,,,,1.449241,,,
1990-06-30,1990Jun,,6.002709,,,,,6.724203,,15.231808,2.492381,,6.506702,,,,13.057223,8.917524,,1.489777,,,6.123662,,,,1.107391,,,
1990-07-31,1990Jul,,6.382429,,,,,6.652009,,14.998943,2.146267,,6.769440,,,,13.396064,8.720101,,1.445756,,,5.494820,,,,1.691912,,,
1990-08-31,1990Aug,,6.824398,,,,,6.918521,,15.045948,2.196296,,6.846189,,,,13.556138,8.688666,,1.460311,,,5.595060,,,,1.757000,,,
1990-09-30,1990Sep,,6.809135,,,,,7.022799,,15.135432,2.388423,,6.851004,,,,13.415518,8.770428,,1.472315,,,5.899051,,,,2.019714,,,
1990-10-31,1990Oct,,6.693152,,,,,7.122459,,15.363021,2.955762,,6.775802,,,,13.155416,8.846275,,1.589925,,,5.953552,,,,2.001522,,,
1990-11-30,1990Nov,,6.583533,,,,,7.185775,,15.347053,3.122495,,6.931156,,,,13.189807,8.847805,,1.704562,,,5.923778,,,,2.226876,,,
1990-12-31,1990Dec,,6.540487,,,,,7.288133,,15.381547,3.153688,,7.298803,,,,13.562365,8.786901,,1.698991,,,5.536788,,,,2.137783,,,
